Customer ID,Age,Gender,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Payment Method,Browsing Time (min),Total Purchases,Satisfaction Level
100000,56,Male,39,82,5,UPI,9,44,Medium
100001,46,Male,135,12,12,Debit Card,35,29,Low
100002,32,Female,82,50,7,Credit Card,27,2,Medium
100003,25,Male,70,21,9,Credit Card,25,44,Low
100004,38,Female,53,10,5,Cash,16,19,Low
100005,56,Male,77,85,4,Debit Card,8,9,Medium
100006,36,Female,142,89,10,Debit Card,41,6,Medium
100007,40,Female,149,81,16,Cash,79,17,High
100008,28,Female,136,70,11,Credit Card,110,2,Medium
100009,28,Male,73,14,9,UPI,108,39,Low
100010,41,Male,62,40,24,UPI,13,6,Low
100011,53,Male,147,82,5,Credit Card,30,14,Medium
100012,57,Female,50,30,11,Cash,107,49,Low
100013,41,Male,102,73,9,Cash,31,26,Medium
100014,20,Male,39,14,17,UPI,97,18,Low
100015,39,Female,33,52,22,UPI,114,6,Medium
100016,19,Male,149,17,11,Credit Card,111,12,Low
100017,41,Male,80,62,21,Credit Card,66,38,Medium
100018,47,Female,94,98,6,Debit Card,54,22,Medium
100019,55,Female,139,22,16,Credit Card,93,14,Low
100020,19,Male,117,53,19,Credit Card,86,13,Medium
100021,38,Female,143,32,14,UPI,98,9,Low
100022,50,Male,145,76,3,UPI,76,42,Medium
100023,29,Male,141,55,10,Debit Card,6,32,Medium
100024,39,Male,35,80,21,UPI,90,10,High
100025,42,Male,140,22,23,UPI,89,27,Low
100026,44,Male,138,38,4,UPI,107,14,Low
100027,59,Female,25,50,22,Credit Card,30,9,Medium
100028,45,Female,36,66,21,UPI,97,9,Medium
100029,33,Male,125,45,2,Cash,73,26,Medium
100030,32,Female,139,8,13,Credit Card,50,32,Low
100031,20,Female,71,65,11,UPI,82,41,Medium
100032,54,Male,103,40,12,Credit Card,67,35,Low
100033,24,Female,145,5,1,UPI,103,26,Low
100034,38,Female,142,45,22,Debit Card,74,41,Medium
100035,26,Male,59,46,21,Debit Card,27,45,Medium
100036,56,Male,50,36,9,Debit Card,21,42,Low
100037,35,Male,101,17,12,UPI,92,3,Low
100038,21,Male,132,41,7,Debit Card,108,30,Medium
100039,42,Male,86,30,17,Credit Card,68,29,Low
100040,31,Male,82,52,10,Debit Card,33,20,Medium
100041,26,Male,117,79,6,Debit Card,56,4,Medium
100042,43,Female,43,20,7,Debit Card,98,14,Low
100043,19,Male,119,36,19,Debit Card,28,45,Low
100044,37,Female,87,66,14,Credit Card,39,39,Medium
100045,45,Female,133,45,11,Cash,51,21,Medium
100046,24,Male,99,4,2,Debit Card,105,7,Low
100047,25,Female,103,50,1,UPI,55,6,Medium
100048,52,Female,103,88,10,Cash,6,40,Medium
100049,31,Female,90,55,12,Debit Card,25,6,Medium
100050,34,Male,130,59,9,Cash,44,25,Medium
100051,53,Female,67,42,23,UPI,109,4,Medium
100052,57,Female,78,2,11,UPI,73,37,Low
100053,21,Male,45,46,1,Debit Card,39,25,Medium
100054,19,Female,50,2,20,Debit Card,48,18,Low
100055,23,Female,24,50,10,UPI,39,34,Medium
100056,59,Female,40,1,19,Credit Card,87,25,Low
100057,21,Female,34,13,23,Cash,84,22,Low
100058,46,Female,139,70,21,Credit Card,29,46,Medium
100059,35,Male,58,22,11,Debit Card,84,14,Low
100060,43,Female,76,17,3,Credit Card,35,37,Low
100061,51,Male,93,59,16,Credit Card,101,11,Medium
100062,27,Female,23,86,22,Cash,85,27,High
100063,53,Male,85,70,10,Debit Card,89,26,Medium
100064,31,Male,104,3,2,Cash,56,35,Low
100065,48,Male,38,70,19,UPI,39,16,Medium
100066,32,Female,74,81,4,Cash,117,40,Medium
100067,25,Female,98,99,16,Cash,27,20,High
100068,31,Female,134,49,6,UPI,53,15,Medium
100069,40,Female,92,50,11,Credit Card,20,14,Medium
100070,57,Female,30,35,17,Cash,106,46,Low
100071,38,Male,43,23,15,UPI,62,8,Low
100072,33,Male,133,72,22,Debit Card,54,24,High
100073,35,Male,49,7,4,Credit Card,82,33,Low
100074,41,Female,57,50,24,UPI,68,16,Medium
100075,43,Female,110,10,8,Credit Card,56,27,Low
100076,42,Male,133,90,24,UPI,44,28,High
100077,58,Female,67,55,18,Cash,119,44,Medium
100078,46,Female,34,74,14,Credit Card,109,14,Medium
100079,32,Male,129,19,2,Cash,58,9,Low
100080,18,Male,22,23,16,UPI,118,46,Low
100081,42,Female,136,95,22,Cash,101,13,High
100082,24,Female,56,64,15,Cash,89,22,Medium
100083,26,Male,91,33,21,UPI,21,30,Low
100084,41,Female,84,66,6,Cash,8,32,Medium
100085,18,Male,125,92,9,Cash,84,16,Medium
100086,25,Male,30,96,12,Cash,60,25,Medium
100087,41,Male,83,97,10,Debit Card,34,49,Medium
100088,28,Female,67,9,7,Debit Card,112,23,Low
100089,34,Male,20,29,5,Debit Card,113,37,Low
100090,25,Male,137,79,23,Credit Card,38,28,High
100091,52,Female,47,18,8,Cash,90,3,Low
100092,52,Male,29,82,12,Cash,48,23,Medium
100093,50,Female,28,71,1,Cash,110,33,Medium
100094,22,Female,77,78,10,Credit Card,97,39,Medium
100095,59,Female,19,29,11,Credit Card,115,25,Low
100096,56,Male,135,83,23,UPI,73,25,High
100097,58,Male,104,61,20,Cash,69,39,Medium
100098,45,Female,121,5,5,UPI,108,21,Low
100099,24,Female,30,69,13,UPI,57,31,Medium
100100,26,Female,113,56,18,Credit Card,93,49,Medium
100101,25,Male,67,52,10,Debit Card,118,30,Medium
100102,29,Female,91,15,21,Credit Card,74,39,Low
100103,51,Female,107,90,17,Credit Card,91,45,High
100104,50,Female,112,88,19,Debit Card,37,45,High
100105,40,Male,112,83,4,Debit Card,82,42,Medium
100106,41,Female,73,20,9,Credit Card,110,34,Low
100107,54,Male,40,73,18,Cash,40,38,High
100108,52,Male,17,92,16,UPI,22,7,High
100109,57,Female,114,16,7,Cash,55,27,Low
100110,39,Female,61,75,12,UPI,61,13,Medium
100111,44,Female,19,98,4,Cash,108,29,Medium
100112,52,Male,76,25,21,Debit Card,48,23,Low
100113,18,Male,98,57,12,Cash,14,8,Medium
100114,52,Male,147,21,12,Credit Card,113,21,Low
100115,54,Female,94,5,4,UPI,43,13,Low
100116,31,Male,77,75,12,UPI,60,26,Medium
100117,20,Female,39,9,23,Cash,53,43,Low
100118,18,Female,58,11,8,Debit Card,62,10,Low
100119,22,Female,28,65,24,Credit Card,80,29,Medium
100120,43,Male,100,63,3,Debit Card,106,27,Medium
100121,31,Male,33,26,16,Credit Card,27,4,Low
100122,56,Male,116,74,2,Credit Card,11,42,Medium
100123,44,Female,34,19,6,Credit Card,49,31,Low
100124,26,Male,93,16,17,Cash,114,17,Low
100125,32,Male,112,56,12,Credit Card,93,8,Medium
100126,32,Female,135,68,9,Credit Card,59,37,Medium
100127,43,Female,31,78,16,Credit Card,59,20,High
100128,59,Male,64,30,7,UPI,81,47,Low
100129,30,Female,24,7,8,UPI,42,10,Low
100130,49,Male,72,12,7,Cash,23,44,Low
100131,56,Female,109,24,21,Cash,113,34,Low
100132,49,Female,121,22,5,UPI,26,39,Low
100133,21,Male,47,47,23,UPI,109,11,Medium
100134,47,Female,60,30,7,Credit Card,15,47,Low
100135,54,Female,143,60,18,UPI,110,12,Medium
100136,40,Female,76,39,18,Cash,7,10,Low
100137,56,Male,101,20,16,Cash,23,13,Low
100138,32,Female,87,26,7,Credit Card,95,34,Low
100139,46,Female,15,49,21,Debit Card,11,30,Medium
100140,53,Male,35,69,2,Debit Card,105,15,Medium
100141,30,Male,36,42,17,UPI,95,8,Medium
100142,49,Female,18,6,8,Credit Card,115,38,Low
100143,24,Female,79,53,2,UPI,38,36,Medium
100144,39,Female,77,34,18,Credit Card,15,40,Low
100145,45,Male,50,69,19,UPI,106,22,Medium
100146,19,Female,43,10,20,Cash,9,5,Low
100147,59,Male,83,28,9,Cash,75,32,Low
100148,23,Male,125,3,12,Debit Card,40,20,Low
100149,45,Female,114,77,22,Debit Card,9,23,High
100150,45,Female,55,48,19,UPI,60,40,Medium
100151,37,Male,62,66,8,Cash,9,46,Medium
100152,47,Female,144,35,22,UPI,31,49,Low
100153,28,Female,125,52,8,Cash,97,2,Medium
100154,45,Male,76,62,10,Credit Card,31,19,Medium
100155,42,Female,121,52,18,Cash,36,26,Medium
100156,56,Male,120,47,15,Debit Card,93,36,Medium
100157,50,Female,146,54,24,Cash,110,14,Medium
100158,18,Male,127,28,11,UPI,118,7,Low
100159,44,Male,82,23,21,Credit Card,102,16,Low
100160,30,Female,103,87,14,Debit Card,19,10,Medium
100161,58,Male,92,35,15,Credit Card,109,43,Low
100162,20,Male,89,32,14,Debit Card,102,22,Low
100163,56,Female,39,2,12,Debit Card,103,26,Low
100164,23,Female,21,16,4,Credit Card,58,5,Low
100165,25,Female,127,16,3,Credit Card,24,12,Low
100166,44,Male,50,51,12,Cash,92,24,Medium
100167,26,Male,24,67,7,Cash,38,24,Medium
100168,54,Male,127,92,7,Debit Card,38,15,Medium
100169,50,Female,50,93,22,Cash,119,24,High
100170,59,Male,32,54,19,Cash,50,24,Medium
100171,41,Male,148,20,14,Debit Card,95,42,Low
100172,32,Female,149,33,1,Cash,118,26,Low
100173,49,Male,116,86,7,Credit Card,25,34,Medium
100174,49,Female,39,8,22,UPI,101,18,Low
100175,41,Female,47,24,10,Credit Card,43,43,Low
100176,58,Female,101,53,18,UPI,44,37,Medium
100177,29,Male,87,64,13,Credit Card,48,6,Medium
100178,56,Male,20,58,8,UPI,40,45,Medium
100179,19,Male,81,37,9,UPI,59,25,Low
100180,20,Female,107,84,15,Cash,93,17,Medium
100181,54,Female,122,12,8,Debit Card,75,16,Low
100182,34,Female,40,84,1,Credit Card,54,29,Medium
100183,19,Male,52,84,3,Cash,118,1,Medium
100184,19,Male,117,4,19,Credit Card,62,45,Low
100185,45,Male,56,94,9,Credit Card,78,42,Medium
100186,40,Male,80,31,19,UPI,78,45,Low
100187,54,Male,56,86,15,UPI,42,20,Medium
100188,49,Female,52,79,14,Debit Card,28,26,Medium
100189,50,Male,120,38,1,UPI,112,21,Low
100190,18,Female,110,37,3,Credit Card,78,27,Low
100191,36,Female,84,92,2,UPI,63,36,Medium
100192,19,Male,52,75,1,Cash,49,35,Medium
100193,43,Female,111,14,18,Cash,30,16,Low
100194,49,Male,122,75,1,UPI,98,29,Medium
100195,23,Male,133,73,9,Debit Card,95,7,Medium
100196,49,Female,88,24,7,UPI,112,7,Low
100197,21,Male,71,10,13,Cash,87,34,Low
100198,28,Male,124,38,17,Credit Card,69,48,Low
100199,34,Female,93,43,13,Credit Card,101,5,Medium
100200,55,Female,50,37,13,Credit Card,15,8,Low
100201,41,Female,71,42,10,Cash,54,8,Medium
100202,22,Female,143,32,6,Cash,62,43,Low
100203,51,Female,17,84,5,Credit Card,38,29,Medium
100204,23,Female,28,14,10,Debit Card,106,10,Low
100205,39,Male,48,4,14,Debit Card,20,1,Low
100206,28,Male,84,24,11,Credit Card,63,38,Low
100207,33,Male,83,96,5,Credit Card,5,28,Medium
100208,50,Female,118,10,4,Cash,45,7,Low
100209,26,Male,43,16,3,UPI,32,17,Low
100210,23,Female,62,39,14,Cash,19,48,Low
100211,33,Male,108,96,13,UPI,84,46,Medium
100212,46,Female,93,18,24,UPI,50,24,Low
100213,20,Male,131,25,23,UPI,36,35,Low
100214,37,Female,81,7,5,UPI,43,9,Low
100215,53,Female,146,56,12,Credit Card,69,42,Medium
100216,36,Female,89,47,23,UPI,116,3,Medium
100217,43,Female,42,82,10,UPI,77,44,Medium
100218,20,Male,135,82,2,UPI,97,4,Medium
100219,36,Male,23,3,7,Cash,93,32,Low
100220,37,Female,148,1,7,Cash,79,44,Low
100221,49,Female,137,33,4,Cash,110,13,Low
100222,24,Female,63,71,12,Debit Card,15,24,Medium
100223,58,Male,105,74,24,Cash,74,7,High
100224,50,Female,139,59,4,Debit Card,38,19,Medium
100225,57,Female,90,72,7,Cash,54,27,Medium
100226,56,Male,118,32,20,Debit Card,48,27,Low
100227,35,Female,47,87,13,Cash,18,18,Medium
100228,57,Female,67,17,8,Credit Card,76,30,Low
100229,18,Male,54,78,14,Cash,29,28,Medium
100230,28,Female,32,17,3,Debit Card,72,29,Low
100231,45,Female,27,89,2,UPI,54,9,Medium
100232,42,Male,88,21,10,Cash,99,39,Low
100233,40,Female,110,55,6,UPI,89,39,Medium
100234,48,Male,119,6,23,UPI,113,21,Low
100235,47,Female,145,84,7,Cash,36,45,Medium
100236,59,Female,81,49,16,Cash,59,38,Medium
100237,52,Female,47,84,6,Credit Card,82,7,Medium
100238,24,Female,16,26,16,Debit Card,96,45,Low
100239,33,Female,89,32,24,Cash,29,25,Low
100240,43,Male,88,72,12,Debit Card,96,26,Medium
100241,19,Female,149,44,22,Cash,83,6,Medium
100242,18,Female,40,59,15,UPI,56,49,Medium
100243,29,Male,142,29,22,UPI,60,20,Low
100244,22,Male,41,17,3,Cash,119,18,Low
100245,54,Female,149,18,16,Debit Card,114,20,Low
100246,49,Male,143,40,18,Debit Card,112,40,Low
100247,26,Female,35,63,15,UPI,26,18,Medium
100248,58,Male,93,82,23,Debit Card,51,47,High
100249,52,Male,108,75,6,Debit Card,74,1,Medium
100250,36,Female,22,45,17,Credit Card,55,33,Medium
100251,33,Male,97,76,2,UPI,70,39,Medium
100252,20,Female,17,79,2,Debit Card,74,48,Medium
100253,37,Male,69,90,17,Credit Card,91,23,High
100254,41,Male,50,3,19,Cash,94,14,Low
100255,50,Male,20,3,5,Credit Card,79,28,Low
100256,41,Female,135,38,4,Credit Card,69,21,Low
100257,28,Female,56,99,18,Credit Card,96,44,High
100258,25,Male,64,73,8,Credit Card,26,37,Medium
100259,53,Female,126,40,9,Credit Card,45,7,Low
100260,55,Female,64,68,24,Credit Card,81,12,Medium
100261,57,Female,44,54,23,Cash,109,37,Medium
100262,37,Male,53,20,18,Cash,51,39,Low
100263,52,Female,130,15,22,UPI,64,28,Low
100264,42,Male,73,93,11,UPI,118,7,Medium
100265,52,Male,90,5,16,Cash,104,45,Low
100266,42,Male,146,39,16,Cash,26,17,Low
100267,46,Male,62,40,4,UPI,8,37,Low
100268,35,Male,95,7,21,Credit Card,48,14,Low
100269,35,Female,63,72,9,Debit Card,45,43,Medium
100270,19,Female,81,96,13,Credit Card,86,4,Medium
100271,52,Male,91,33,20,Cash,42,22,Low
100272,33,Female,35,37,8,UPI,21,49,Low
100273,58,Female,119,32,11,UPI,93,17,Low
100274,53,Female,86,43,21,Credit Card,21,35,Medium
100275,50,Female,30,63,9,UPI,97,46,Medium
100276,21,Female,42,36,18,Cash,49,32,Low
100277,50,Female,94,98,20,Cash,112,38,High
100278,31,Female,71,49,3,Debit Card,50,31,Medium
100279,38,Male,124,25,23,Cash,12,25,Low
100280,37,Male,66,96,18,Debit Card,97,10,High
100281,25,Male,98,66,19,Debit Card,19,49,Medium
100282,24,Female,62,9,9,Credit Card,109,2,Low
100283,20,Female,141,93,24,UPI,37,27,High
100284,34,Male,112,18,18,Cash,53,12,Low
